userId,num_events,num_sessions,num_songs,num_ads,thumbs_up,thumbs_down,help_events,error_events,downgrade_events,distinct_artists,distinct_songs,is_paid,days_on_platform,activity_span_days,songs_per_session,ads_per_session,thumbs_up_ratio,churn
,8346,1629,0,0,0,0,272,6,0,0,0,1,,60,0.0,0.0,0.0,0
10.0,795,6,673,1,37,4,1,0,7,565,629,1,51.0,42,112.16666666666669,0.1666666666666666,0.8809523809523809,0
100.0,3214,35,2682,25,148,27,18,3,30,1705,2302,1,64.0,58,76.62857142857143,0.7142857142857143,0.8409090909090909,0
100001.0,187,4,133,14,8,2,1,1,0,125,129,0,44.0,1,33.25,3.5,0.7272727272727273,1
100002.0,218,4,195,3,5,0,0,0,2,184,193,1,160.0,55,48.75,0.75,0.8333333333333334,0
100003.0,78,2,51,9,3,0,1,0,0,50,51,0,22.0,2,25.5,4.5,0.75,1
100004.0,1245,21,942,86,35,11,6,2,10,733,881,1,172.0,56,44.85714285714285,4.095238095238095,0.7446808510638298,0
100005.0,216,5,154,18,7,3,2,0,0,149,153,0,85.0,18,30.8,3.6,0.6363636363636364,1
100006.0,44,1,26,3,2,2,0,0,0,26,26,0,9.0,0,26.0,3.0,0.4,1
100007.0,520,9,423,5,19,6,3,0,7,357,408,1,115.0,58,47.0,0.5555555555555556,0.7307692307692307,1
100008.0,940,6,772,20,37,6,6,0,10,623,723,1,68.0,48,128.66666666666666,3.333333333333333,0.8409090909090909,0
100009.0,671,10,518,42,23,8,6,0,5,442,501,1,37.0,25,51.8,4.2,0.71875,1
100010.0,381,7,275,52,17,5,2,0,0,252,269,0,55.0,44,39.285714285714285,7.428571428571429,0.7391304347826086,0
100011.0,23,1,11,2,0,1,0,0,0,11,11,0,5.0,0,11.0,2.0,0.0,1
100012.0,600,7,476,38,18,9,2,0,4,397,453,1,43.0,29,68.0,5.428571428571429,0.6428571428571429,1
100013.0,1392,14,1131,39,39,15,9,2,13,826,1041,1,44.0,31,80.78571428571429,2.7857142857142856,0.7090909090909091,1
100014.0,310,6,257,2,17,3,2,0,3,233,248,1,85.0,41,42.833333333333336,0.3333333333333333,0.8095238095238095,1
100015.0,1050,12,800,69,35,8,6,1,5,627,755,1,67.0,53,66.66666666666667,5.75,0.7954545454545454,1
